,description,full_name,id,language,name,open_issues_count,stargazers_count,test_coverage
170,Less. The dynamic stylesheet language.,less/less.js,527644,JavaScript,less.js,148,16053,
171,Pure Javascript OCR for more than 100 Languages 📖🎉🖥,naptha/tesseract.js,37958358,JavaScript,tesseract.js,77,16028,
172,The best design tools for everything 👉,LisaDziuba/Awesome-Design-Tools,170326929,JavaScript,Awesome-Design-Tools,8,15975,
173,Simply beautiful open source icons,feathericons/feather,20270252,JavaScript,feather,248,15953,
174,React components for efficiently rendering large lists and tabular data,bvaughn/react-virtualized,45431898,JavaScript,react-virtualized,237,15903,100.0
175,A React framework for building text editors.,facebook/draft-js,52113921,JavaScript,draft-js,570,15874,
176,Next-generation ES module bundler,rollup/rollup,35640229,JavaScript,rollup,312,15820,
177,"Simple, unobtrusive authentication for Node.js.",jaredhanson/passport,2540368,JavaScript,passport,327,15790,98.8700564971751
178,Routing and navigation for your React Native apps,react-navigation/react-navigation,80149262,JavaScript,react-navigation,101,15773,
179,typeahead.js is a fast and fully-featured autocomplete library,twitter/typeahead.js,8297888,JavaScript,typeahead.js,495,15735,
180,Bootstrap components built with React,react-bootstrap/react-bootstrap,15480067,JavaScript,react-bootstrap,114,15665,93.2778108268888
181,Most commonly used git tips and tricks.,git-tips/tips,39122628,JavaScript,tips,16,15587,
182,A browser based code editor,microsoft/monaco-editor,60630844,JavaScript,monaco-editor,587,15544,
183,"💾 Offline storage, improved. Wraps IndexedDB, WebSQL, or localStorage using a simple but powerful API.",localForage/localForage,14003349,JavaScript,localForage,152,15313,
184,node.js command-line interfaces made easy,tj/commander.js,2206953,JavaScript,commander.js,104,15307,79.2650918635171
185,A package manager for the web,bower/bower,5710341,JavaScript,bower,200,15247,84.5131612573473
186,"Swagger UI is a collection of HTML, Javascript, and CSS assets that dynamically generate beautiful documentation from a Swagger-compliant API.",swagger-api/swagger-ui,2055965,JavaScript,swagger-ui,431,15245,
187,🎨 A curated list of delightful VS Code packages and resources.,viatsko/awesome-vscode,51270739,JavaScript,awesome-vscode,26,15145,
188,🚀 Open source Node.js Headless CMS to easily build customisable APIs,strapi/strapi,43441403,JavaScript,strapi,199,15110,
189,HTML5 FLV Player,bilibili/flv.js,58623321,JavaScript,flv.js,186,15057,
190,A customizable life embetterment robot.,hubotio/hubot,2278524,JavaScript,hubot,66,15007,76.3532763532764
191,"Flash OS images to SD cards & USB drives, safely and easily.",balena-io/etcher,45055693,JavaScript,etcher,138,14915,
192,Selector library for Redux,reduxjs/reselect,38366638,JavaScript,reselect,66,14866,
193,The motion graphics toolbelt for the web,mojs/mojs,21234201,JavaScript,mojs,54,14785,
194,:closed_book:《Node.js 包教不包会》 by alsotang,alsotang/node-lessons,24812854,JavaScript,node-lessons,90,14782,
195,Beautiful and accessible drag and drop for lists with React,atlassian/react-beautiful-dnd,99761907,JavaScript,react-beautiful-dnd,100,14776,
196,"PLEASE READ THE PROJECT STATUS BELOW.  Native AngularJS (Angular) directives for Bootstrap. Smaller footprint (20kB gzipped), no 3rd party JS dependencies (jQuery, bootstrap JS) required. Please read the README.md file before submitting an issue!",angular-ui/bootstrap,6094683,JavaScript,bootstrap,338,14742,
197,A promise library for JavaScript,kriskowal/q,887025,JavaScript,q,119,14675,
198,,wycats/handlebars.js,809601,JavaScript,handlebars.js,121,14534,
199,A completely customizable framework for building rich text editors. (Currently in beta.),ianstormtaylor/slate,61412022,JavaScript,slate,354,14524,
200,In-browser Markdown editor,benweet/stackedit,8986773,JavaScript,stackedit,457,14508,
201,The open-source kanban (built with Meteor),wekan/wekan,16089035,JavaScript,wekan,494,14503,
202,Node.js CMS and web app framework,keystonejs/keystone,11116372,JavaScript,keystone,339,14500,
203,Format input text content when you are typing...,nosir/cleave.js,59114705,JavaScript,cleave.js,67,14498,
204,Javascript syntax highlighter,highlightjs/highlight.js,1213225,JavaScript,highlight.js,374,14465,
205,前端技能汇总 Frontend Knowledge Structure,JacksonTian/fks,6256729,JavaScript,fks,10,14443,
206,Simple JavaScript testing framework for browsers and node.js,jasmine/jasmine,84009,JavaScript,jasmine,57,14412,
207,Full featured HTML framework for building iOS & Android apps,framework7io/framework7,17107479,JavaScript,framework7,113,14410,
208,Dropzone is an easy to use drag'n'drop library. It supports image previews and shows nice progress bars.,enyo/dropzone,3422939,JavaScript,dropzone,893,14395,
