,description,full_name,id,language,name,open_issues_count,size,stargazers_count,test_coverage
60,greenDAO is a light & fast ORM solution for Android that maps objects to SQLite databases.,greenrobot/greenDAO,2626751,Java,greenDAO,170,7174,11384,
61,"✔️ Simple, pretty and powerful logger for android",orhanobut/logger,32610336,Java,logger,53,1875,11281,
62,The Most Powerful Swipe Layout!,daimajia/AndroidSwipeLayout,23301468,Java,AndroidSwipeLayout,350,399,11235,
63,An Android library that allows you to easily create applications with slide-in menus. You may use it in your Android apps provided that you cite this project and include the license in your app. Thanks!,jfeinstein10/SlidingMenu,4839957,Java,SlidingMenu,308,32085,11176,
64,"Stetho is a debug bridge for Android applications, enabling the powerful Chrome Developer Tools and much more.",facebook/stetho,29703871,Java,stetho,40,2269,11167,
65,Zipkin is a distributed tracing system,apache/incubator-zipkin,4576305,Java,incubator-zipkin,246,46346,11145,
66,FizzBuzz Enterprise Edition is a no-nonsense implementation of FizzBuzz made by serious businessmen for serious business purposes.,EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,6834703,Java,FizzBuzzEnterpriseEdition,299,284,11141,
67,MyBatis SQL mapper framework for Java,mybatis/mybatis-3,8205602,Java,mybatis-3,130,90238,11001,
68,"Deeplearning4j, ND4J, DataVec and more - deep learning & linear algebra for Java/Scala with GPUs + Spark",eclipse/deeplearning4j,14734876,Java,deeplearning4j,823,616113,10907,
69,Fast Android Development. Easy maintainance.,androidannotations/androidannotations,3116751,Java,androidannotations,48,22289,10800,
70,Cute view animation collection.,daimajia/AndroidViewAnimations,21113349,Java,AndroidViewAnimations,47,291,10627,
71,High Performance Inter-Thread Messaging Library,LMAX-Exchange/disruptor,5901900,Java,disruptor,6,8058,10586,
72,Realm is a mobile database: a replacement for SQLite & ORMs,realm/realm-java,4084908,Java,realm-java,454,57726,10508,
73,An Asynchronous HTTP Library for Android,android-async-http/android-async-http,1388245,Java,android-async-http,114,2596,10449,
