,description,full_name,id,language,name,open_issues_count,size,stargazers_count,test_coverage
52,Hand-crafted frontend development,middleman/middleman,261943,Ruby,middleman,131,22946,6484,
53,Authorization Gem for Ruby on Rails.,ryanb/cancan,375388,Ruby,cancan,259,8361,6313,
54,"YADR - The best vim,git,zsh plugins and the cleanest vimrc you've ever seen",skwp/dotfiles,2798959,Ruby,dotfiles,20,2920,6259,
55,Soulful docs for Swift & Objective-C,realm/jazzy,20552964,Ruby,jazzy,139,70731,6027,
56,A command-line tool that reorganizes your Xcode project folder to match your Xcode groups,venmo/synx,19290579,Ruby,synx,58,18385,5939,
57,🍻 Default formulae for the missing package manager for macOS,Homebrew/homebrew-core,52855516,Ruby,homebrew-core,171,246986,5937,
58,"Pro Git Book Content, 1st Edition - This content is deprecated. See 2nd edition at [progit2](https://github.com/progit/progit2)",progit/progit,261335,Ruby,progit,19,33201,5915,
59,"A systems integration framework, built to bring the benefits of configuration management to your entire infrastructure.",chef/chef,108278,Ruby,chef,577,112175,5828,88.95833
60,Guard is a command line tool to easily handle events on file system modifications.,guard/guard,812610,Ruby,guard,63,3920,5762,
61,A Ruby/Rack web server built for concurrency,puma/puma,2441517,Ruby,puma,104,8269,5727,
62,A runtime developer console and IRB alternative with powerful introspection capabilities.,pry/pry,1145832,Ruby,pry,169,8148,5647,
63,help to kill N+1 queries and unused eager loading,flyerhzm/bullet,277089,Ruby,bullet,70,1343,5561,
64,Track changes to your rails models,paper-trail-gem/paper_trail,211588,Ruby,paper_trail,4,3461,5517,
65,Complete Ruby geocoding solution.,alexreisner/geocoder,176780,Ruby,geocoder,38,2635,5449,
66,"Automatically generate change log from your tags, issues, labels and pull requests on GitHub.",github-changelog-generator/github-changelog-generator,26018608,Ruby,github-changelog-generator,106,1899,5433,
67,"📝 A curated list of awesome Raspberry Pi tools, projects, images and resources",thibmaek/awesome-raspberry-pi,68380413,Ruby,awesome-raspberry-pi,0,369,5414,
68,"Pagination library for Rails, Sinatra, Merb, DataMapper, and more",mislav/will_paginate,1227,Ruby,will_paginate,137,954,5402,
69,A static analysis security vulnerability scanner for Ruby on Rails applications,presidentbeef/brakeman,865250,Ruby,brakeman,52,28206,5390,
70,MIT视频公开课《计算机程序的构造和解释》中文化项目及课程学习资料搜集。,DeathKing/Learning-SICP,6688319,Ruby,Learning-SICP,5,9384,5374,
71,Server automation framework and application,puppetlabs/puppet,910744,Ruby,puppet,33,74268,5338,
72,Rails for API only applications,rails-api/rails-api,3748229,Ruby,rails-api,14,182,5271,
73,Config files for vim and tmux.,square/maximum-awesome,10750276,Ruby,maximum-awesome,33,392,5241,
74,A Ruby gem to load environment variables from `.env`. ,bkeepers/dotenv,5160706,Ruby,dotenv,6,410,5236,
75,Create beautiful JavaScript charts with one line of Ruby,ankane/chartkick,9906653,Ruby,chartkick,12,1408,5229,
76,FriendlyId is the “Swiss Army bulldozer” of slugging and permalink plugins for ActiveRecord. It allows you to create pretty URL’s and work with human-friendly strings as if they were numeric ids for ActiveRecord models.,norman/friendly_id,10865,Ruby,friendly_id,76,3876,5219,
77,A truly monstrous async web chat using no JS whatsoever on the frontend,kkuchta/css-only-chat,185419470,Ruby,css-only-chat,8,31,5158,
78,A Rails form builder plugin with semantically rich and accessible markup.,justinfrench/formtastic,7497,Ruby,formtastic,37,3769,5085,
79,Manage Procfile-based applications,ddollar/foreman,672136,Ruby,foreman,37,1076,5062,
80,Cucumber for Ruby,cucumber/cucumber-ruby,10664,Ruby,cucumber-ruby,15,11873,5017,
81,:microscope: A Ruby library for carefully refactoring critical paths.,github/scientist,16549503,Ruby,scientist,8,131,5007,
